ADANIPORTS.NS,Adani Ports and Special Economic Zone Ltd.
APOLLOHOSP.NS,Apollo Hospitals Enterprise Ltd.
ASIANPAINT.NS,Asian Paints Ltd.
AXISBANK.NS,Axis Bank Ltd.
BAJAJ-AUTO.NS,Bajaj Auto Ltd.
BAJFINANCE.NS,Bajaj Finance Ltd.
BAJAJFINSV.NS,Bajaj Finserv Ltd.
BPCL.NS,Bharat Petroleum Corporation Ltd.
BHARTIARTL.NS,Bharti Airtel Ltd.
BRITANNIA.NS,Britannia Industries Ltd.
CIPLA.NS,Cipla Ltd.
COALINDIA.NS,Coal India Ltd.
DIVISLAB.NS,Divi's Laboratories Ltd.
RDY,Reddy's Laboratories Ltd.
EICHERMOT.NS,Eicher Motors Ltd.
GRASIM.NS,Grasim Industries Ltd.
HCLTECH.NS,HCL Technologies Ltd.
HDFCBANK.NS,HDFC Bank Ltd.
HDFCLIFE.NS,HDFC Life Insurance Company Ltd.
HEROMOTOCO.NS,Hero MotoCorp Ltd.
HINDALCO.NS,Hindalco Industries Ltd.
HINDUNILVR.NS,Hindustan Unilever Ltd.
HDFC.NS,Housing Development Finance Corporation Ltd.
ICICIBANK.NS,ICICI Bank Ltd.
ITC.NS,ITC Ltd.
INDUSINDBK.NS,IndusInd Bank Ltd.
INFY.NS,Infosys Ltd.
JSWSTEEL.NS,JSW Steel Ltd.
KOTAKBANK.NS,Kotak Mahindra Bank Ltd.
LT.NS,Larsen & Toubro Ltd.
M&M.NS,Mahindra & Mahindra Ltd.
MARUTI.NS,Maruti Suzuki India Ltd.
NTPC.NS,NTPC Ltd.
NESTLEIND.NS,Nestle India Ltd.
ONGC.NS,Oil & Natural Gas Corporation Ltd.
POWERGRID.NS,Power Grid Corporation of India Ltd.
RELIANCE.NS,Reliance Industries Ltd.
SBILIFE.NS,SBI Life Insurance Company Ltd.
SHREECEM.NS,Shree Cement Ltd.
SBIN.NS,State Bank of India
SUNPHARMA.NS,Sun Pharmaceutical Industries Ltd.
TCS.NS,Tata Consultancy Services Ltd.
TATACONSUM.NS,Tata Consumer Products Ltd.
TATAMOTORS.NS,Tata Motors Ltd.
TATASTEEL.NS,Tata Steel Ltd.
TECHM.NS,Tech Mahindra Ltd.
TITAN.NS,Titan Company Ltd.
UPL.NS,UPL Ltd.
ULTRACEMCO.NS,UltraTech Cement Ltd.
WIPRO.NS,Wipro Ltd.
